a,b,k,d,ad,overlap_days,a_name,b_name
sse/880492,sse/880772,61,0.40994145738091975,0.40994145738091975,1038,sse/880492 元器件,sse/880772 最近闪拉
sse/880810,sse/880812,117,-0.4090459465147668,0.4090459465147668,1525,sse/880810 陆股通增,sse/880812 昨日连板
sse/880491,sse/880778,102,0.40851203004945613,0.40851203004945613,1486,sse/880491 半导体,sse/880778 次新预增
sse/880351,sse/880082,103,-0.40814192364091495,0.40814192364091495,1058,sse/880351 矿物制品,sse/880082 板块趋势
sse/880432,sse/880640,115,0.40654263636502097,0.40654263636502097,919,sse/880432 运输设备,sse/880640 历史新高
sse/880472,sse/880576,111,0.40414760611582967,0.40414760611582967,3335,sse/880472 证券,sse/880576 重组股
sse/880452,sse/880773,100,-0.403629535829503,0.403629535829503,983,sse/880452 电信运营,sse/880773 最近闪跌
szse/399001,sse/880812,117,-0.4033612647477048,0.4033612647477048,1974,szse/399001 深证成指,sse/880812 昨日连板
sse/880825,sse/880640,109,0.4025821740669012,0.4025821740669012,579,sse/880825 预计转亏,sse/880640 历史新高
sse/880330,sse/880773,118,0.4008742196657098,0.4008742196657098,983,sse/880330 化纤,sse/880773 最近闪跌
sse/880843,sse/880082,106,-0.40039960209256154,0.40039960209256154,778,sse/880843 业绩预降,sse/880082 板块趋势
sse/880947,sse/880784,104,-0.4003364881023739,0.4003364881023739,1651,sse/880947 债转股AMC,sse/880784 昨日较弱
sse/880476,sse/880778,119,-0.3999426075280085,0.3999426075280085,1486,sse/880476 建筑,sse/880778 次新预增
sse/880816,sse/880778,98,0.3964863371678518,0.3964863371678518,1486,sse/880816 密集调研,sse/880778 次新预增
sse/880857,sse/880756,81,0.39500626652716414,0.39500626652716414,1146,sse/880857 证金汇金持股,sse/880756 机构吸筹
sse/880573,sse/880867,105,-0.39423063947374104,0.39423063947374104,2389,sse/880573 摘帽,sse/880867 昨高换手
sse/880874,sse/880784,69,-0.3940533836925799,0.3940533836925799,1651,sse/880874 昨曾涨停,sse/880784 昨日较弱
sse/880774,sse/880081,95,0.3933286473576666,0.3933286473576666,1058,sse/880774 昨日首板,sse/880081 轮动趋势
sse/880854,sse/880622,109,-0.3923845697842818,0.3923845697842818,712,sse/880854 预高送转,sse/880622 破增发价
sse/880344,sse/880756,112,-0.3914547264644168,0.3914547264644168,1146,sse/880344 建材,sse/880756 机构吸筹
sse/880872,sse/880752,79,-0.39013957216181827,0.39013957216181827,1171,sse/880872 近期复牌,sse/880752 昨曾跌停
sse/880857,sse/880752,111,0.38978188738516284,0.38978188738516284,1171,sse/880857 证金汇金持股,sse/880752 昨曾跌停
sse/880454,sse/880640,115,0.38897062354299305,0.38897062354299305,919,sse/880454 水务,sse/880640 历史新高
sse/880874,sse/880735,56,-0.3884373391273463,0.3884373391273463,1206,sse/880874 昨曾涨停,sse/880735 专精特新
sse/880360,sse/880781,110,0.38779319385825295,0.38779319385825295,1678,sse/880360 农林牧渔,sse/880781 QFII新进
sse/880854,sse/880723,80,-0.3877394957273336,0.3877394957273336,819,sse/880854 预高送转,sse/880723 发可转债
sse/880812,sse/880751,19,0.38708538816088667,0.38708538816088667,1163,sse/880812 昨日连板,sse/880751 昨日跌停
sse/880423,sse/880867,114,-0.38685361187124095,0.38685361187124095,2389,sse/880423 酒店餐饮,sse/880867 昨高换手
sse/880810,sse/880769,91,0.38658585258481276,0.38658585258481276,986,sse/880810 陆股通增,sse/880769 股权集中
sse/880414,sse/880867,106,-0.3844563951561973,0.3844563951561973,2389,sse/880414 商贸代理,sse/880867 昨高换手
sse/880493,sse/880781,114,0.38388434214395184,0.38388434214395184,1678,sse/880493 软件服务,sse/880781 QFII新进
sse/880886,sse/880751,111,0.38387295104544383,0.38387295104544383,1163,sse/880886 昨日较强,sse/880751 昨日跌停
sse/880867,sse/880879,101,0.3837376488473625,0.3837376488473625,2275,sse/880867 昨高换手,sse/880879 低价股
