x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880459,sse/880459 运输服务,4749,mic_leads_X,10,0.037369086459636214,0.7129186816460881,10,0.037369086459636214,True,0.0021821828997803383,60
sse/880492,sse/880492 元器件,4749,X_leads_mic,1,-0.03702708865438436,0.8325753322620782,1,-0.03702708865438436,True,0.0012675827331535272,60
sse/880424,sse/880424 旅游,4749,X_leads_mic,2,-0.03637270126608102,0.7050880454298402,2,-0.03637270126608102,True,-0.0017230426940710863,60
sse/880562,sse/880562 高校背景,3413,X_leads_mic,33,-0.036122083637991485,0.8549104639507439,6,-0.029635797613916628,True,0.010647328065526152,60
sse/880491,sse/880491 半导体,4749,X_leads_mic,12,-0.03604604235235727,0.757965622317091,12,-0.03604604235235727,True,0.011956939362149255,60
sse/880418,sse/880418 传媒娱乐,4749,X_leads_mic,1,-0.03587690501419304,0.8107317326084973,1,-0.03587690501419304,True,-0.0006809458085815789,26
sse/880454,sse/880454 水务,4749,mic_leads_X,37,0.035524705222824825,0.7880088327106324,18,0.03444212040282611,True,-0.00627624368837576,34
sse/880809,sse/880809 基金独门,3313,X_leads_mic,11,-0.03551441787530663,0.9027155137155022,11,-0.03551441787530663,True,0.01214035382588774,60
sse/880453,sse/880453 公共交通,4749,X_leads_mic,41,-0.03533176973012696,0.8028463569784035,11,-0.024753293154844255,True,-0.04013497643800795,43
sse/880446,sse/880446 电气设备,4749,X_leads_mic,2,-0.034885436910800594,0.8080804655581049,2,-0.034885436910800594,True,6.311258041435952e-05,60
sse/880861,sse/880861 连续亏损,2531,mic_leads_X,42,0.03465295376941815,0.8522885870733916,2,-0.029270938642301528,True,0.044175825450731565,60
sse/880489,sse/880489 IT设备,4749,X_leads_mic,15,-0.03460690106381915,0.8187287616144733,15,-0.03460690106381915,True,0.006738997097608057,60
sse/880493,sse/880493 软件服务,4749,X_leads_mic,1,-0.034213744810606565,0.8325041888718645,1,-0.034213744810606565,True,-0.0010614678591871485,46
sse/880873,sse/880873 个人持股,2288,X_leads_mic,15,-0.03405635800446119,0.9288135952065218,15,-0.03405635800446119,True,0.02953465562687385,60
sse/880324,sse/880324 有色,4749,X_leads_mic,22,-0.0337264128088277,0.7261101531683065,7,-0.02201021602973032,True,0.025365893250932747,60
sse/880399,sse/880399 家居用品,4749,mic_leads_X,58,0.033197114318993456,0.8103429395953766,9,0.028816480708376203,True,0.01105404801732035,60
sse/880355,sse/880355 日用化工,4749,X_leads_mic,43,-0.03293151745894539,0.7343455532563506,2,-0.032900582696437246,True,-0.050105424378079355,60
sse/880351,sse/880351 矿物制品,4749,X_leads_mic,34,-0.03282672348987535,0.7874491248603344,1,-0.027510604359717833,True,0.027504605546938343,60
sse/880882,sse/880882 久不分红,2214,mic_leads_X,30,0.03265670850015661,0.8477566239820966,11,-0.02824014476753363,True,0.057270162149000714,60
sse/880318,sse/880318 钢铁,4749,X_leads_mic,2,-0.03252661325258257,0.729845991582673,2,-0.03252661325258257,True,-0.000146699466347322,60
